Country Name,ISO3 Code,country_area
Aruba,ABW,180
Afghanistan,AFG,652860
Angola,AGO,1246700
Albania,ALB,28750
Andorra,AND,470
United Arab Emirates,ARE,98647.9
Argentina,ARG,2780400
Armenia,ARM,29740
American Samoa,ASM,200
Antigua and Barbuda,ATG,440
Australia,AUS,7741220
Austria,AUT,83879
Azerbaijan,AZE,86600
Burundi,BDI,27830
Belgium,BEL,30530
Benin,BEN,114760
Burkina Faso,BFA,274220
Bangladesh,BGD,147570
Bulgaria,BGR,111000
Bahrain,BHR,780
"Bahamas, The",BHS,13880
Bosnia and Herzegovina,BIH,51210
Belarus,BLR,207600
Belize,BLZ,22970
Bermuda,BMU,4290
Bolivia,BOL,1098580
Brazil,BRA,8515770
Barbados,BRB,430
Brunei Darussalam,BRN,5770
Bhutan,BTN,38390
Botswana,BWA,581730
Central African Republic,CAF,622980
Canada,CAN,9879750
Switzerland,CHE,41290.39
Chile,CHL,756700
China,CHN,9600012.9
Cote d'Ivoire,CIV,322460
Cameroon,CMR,475440
"Congo, Dem. Rep.",COD,2344860
"Congo, Rep.",COG,342000
Colombia,COL,1141750
Comoros,COM,1861
Cabo Verde,CPV,4030
Costa Rica,CRI,51100
Cuba,CUB,109880
Cayman Islands,CYM,264
Cyprus,CYP,9250
Czech Republic,CZE,78870
Germany,DEU,357580
Djibouti,DJI,23200
Dominica,DMA,750
Denmark,DNK,42920
Dominican Republic,DOM,48670
Ecuador,ECU,256370
"Egypt, Arab Rep.",EGY,1001450
Eritrea,ERI,117600
Spain,ESP,505957.289
Estonia,EST,45340
Ethiopia,ETH,1136259.41
Finland,FIN,338450
Fiji,FJI,18270
France,FRA,549087
Faroe Islands,FRO,1396
"Micronesia, Fed. Sts.",FSM,700
Gabon,GAB,267670
United Kingdom,GBR,243610
Georgia,GEO,69700
Ghana,GHA,238540
Gibraltar,GIB,10
Guinea,GIN,245860
"Gambia, The",GMB,11300
Guinea-Bissau,GNB,36130
Equatorial Guinea,GNQ,28050
Greece,GRC,131960
Grenada,GRD,340
Greenland,GRL,410450
Guatemala,GTM,108890
Guam,GUM,540
Guyana,GUY,214970
"Hong Kong SAR, China",HKG,1110
Honduras,HND,112490
Croatia,HRV,88070
Haiti,HTI,27750
Hungary,HUN,93030
Indonesia,IDN,1916862.2
Isle of Man,IMN,570
India,IND,3287259
Ireland,IRL,70280
"Iran, Islamic Rep.",IRN,1745150
Iraq,IRQ,435052
Iceland,ISL,103000
Israel,ISR,22070
Italy,ITA,302070
Jamaica,JAM,10990
Jordan,JOR,89320
Japan,JPN,377974
Kazakhstan,KAZ,2724902
Kenya,KEN,580370
Kyrgyz Republic,KGZ,199950
Cambodia,KHM,181040
Kiribati,KIR,810
St. Kitts and Nevis,KNA,260
"Korea, Rep.",KOR,100370
Kuwait,KWT,17820
Lao PDR,LAO,236800
Lebanon,LBN,10450
Liberia,LBR,111370
Libya,LBY,1759540
St. Lucia,LCA,620
Liechtenstein,LIE,160
Sri Lanka,LKA,65610
Lesotho,LSO,30360
Lithuania,LTU,65290
Luxembourg,LUX,2590
Latvia,LVA,64570
